,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_11,0.0784313725490196,0.13829787234042554,0.10869565217391304,0.07964601769911504,0.08695652173913043,0.09009009009009009,0.08,0.104,0.11,0.13541666666666666,0.04597701149425287,0.09615384615384616,0.07692307692307693,0.10185185185185185
Gen_12,0.10204081632653061,0.09375,0.08695652173913043,0.1111111111111111,0.18072289156626506,0.12264150943396226,0.10416666666666667,0.12396694214876033,0.11224489795918367,0.11458333333333333,0.07228915662650602,0.09803921568627451,0.07865168539325842,0.13592233009708737
Gen_13,0.0784313725490196,0.13829787234042554,0.14606741573033707,0.08928571428571429,0.16279069767441862,0.09009009009009009,0.08,0.104,0.12121212121212122,0.13541666666666666,0.08333333333333333,0.14,0.10112359550561797,0.09174311926605505
Gen_14,0.07954545454545454,0.13580246913580246,0.16,0.09183673469387756,0.1038961038961039,0.09278350515463918,0.08139534883720931,0.10810810810810811,0.1566265060240964,0.11904761904761904,0.08571428571428572,0.13793103448275862,0.09210526315789473,0.09473684210526316
Gen_15,0.0891089108910891,0.13829787234042554,0.10869565217391304,0.10909090909090909,0.06382978723404255,0.11009174311926606,0.06930693069306931,0.09523809523809523,0.12121212121212122,0.12371134020618557,0.08333333333333333,0.09615384615384616,0.08888888888888889,0.08181818181818182
Gen_16,0.10679611650485436,0.16842105263157894,0.09278350515463918,0.14545454545454545,0.16853932584269662,0.14678899082568808,0.10891089108910891,0.14516129032258066,0.10576923076923077,0.0970873786407767,0.11764705882352941,0.102803738317757,0.1724137931034483,0.12844036697247707
Gen_17,0.061224489795918366,0.09782608695652174,0.12941176470588237,0.08411214953271028,0.13253012048192772,0.08490566037735849,0.07368421052631578,0.1092436974789916,0.12903225806451613,0.11956521739130435,0.0759493670886076,0.10204081632653061,0.09523809523809523,0.0970873786407767
Gen_18,0.09803921568627451,0.14736842105263157,0.09473684210526316,0.12727272727272726,0.10869565217391304,0.11818181818181818,0.0891089108910891,0.14754098360655737,0.08653846153846154,0.11,0.08139534883720931,0.10476190476190476,0.0989010989010989,0.12037037037037036
Gen_19,0.09183673469387756,0.08333333333333333,0.08791208791208792,0.08181818181818182,0.1411764705882353,0.07272727272727272,0.11702127659574468,0.08,0.06930693069306931,0.08163265306122448,0.047619047619047616,0.08823529411764706,0.06741573033707865,0.09433962264150944
Gen_20,0.09,0.1276595744680851,0.08602150537634409,0.11009174311926606,0.07608695652173914,0.1111111111111111,0.09183673469387756,0.11382113821138211,0.1,0.1134020618556701,0.058823529411764705,0.10784313725490197,0.0898876404494382,0.102803738317757
